mutant_index,mr_id,detected_executions,total_executions,detection_rate,source_role,source_path,source_locator,source_sha256
8,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O10,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
8,MR6.1,2,10,0.2,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y10,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
8,MR6.5,3,10,0.3,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC10,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
9,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N11,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
9,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O11,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
9,MR6.1,1,10,0.1,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y11,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
9,MR6.5,7,10,0.7,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC11,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
10,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N12,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
10,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O12,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
10,MR6.1,4,10,0.4,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y12,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
10,MR6.5,6,10,0.6,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC12,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
11,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N13,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
11,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O13,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
11,MR6.1,7,10,0.7,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y13,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
11,MR6.5,7,10,0.7,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC13,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
12,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N14,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
12,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O14,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
12,MR6.1,5,10,0.5,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y14,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
12,MR6.5,9,10,0.9,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC14,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
13,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N15,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
13,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O15,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
13,MR6.1,4,10,0.4,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y15,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
13,MR6.5,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC15,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
14,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N16,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
14,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O16,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
14,MR6.1,1,10,0.1,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y16,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
14,MR6.5,3,10,0.3,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC16,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
15,MR4.1,4,10,0.4,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N17,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
15,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O17,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
15,MR6.1,3,10,0.3,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y17,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
15,MR6.5,6,10,0.6,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC17,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
16,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N18,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
16,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O18,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
16,MR6.1,2,10,0.2,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y18,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
16,MR6.5,3,10,0.3,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC18,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
17,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N19,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
17,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O19,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
17,MR6.1,8,10,0.8,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y19,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
17,MR6.5,9,10,0.9,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC19,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
18,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N20,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
18,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O20,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
18,MR6.1,6,10,0.6,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y20,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
18,MR6.5,2,10,0.2,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC20,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
